"source_path"	"classification"	"repo_owner"	"repo_target_path"	"obsidian_target_folder"	"obsidian_note_title"	"ignored_artifact_target"	"retention_decision"	"privacy_risk"	"referrer_status"	"required_before_move"	"destructive_allowed_now"	"notes"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/85raw_weak_seed_tolerated_watch_rows.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/85raw_weak_seed_tolerated_watch_rows.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/collateral_promoted_primary_rows_primary_delivery_fix.csv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/collateral_promoted_primary_rows_primary_delivery_fix.csv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/diagnostic_tool_usage_current_8raw.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/diagnostic_tool_usage_current_8raw.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved_primary_delivery_fix.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved_primary_delivery_fix.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1b_85raw_policy_delta.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/phase1b_85raw_policy_delta.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1b_8raw_policy_delta.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/phase1b_8raw_policy_delta.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1b_policy_delta_summary.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/phase1b_policy_delta_summary.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/post_review_hardened_single_dr_gate_summary.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/post_review_hardened_single_dr_gate_summary.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage_primary_delivery_fix.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage_primary_delivery_fix.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_comparison.csv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_comparison.csv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_failure_mode_report.md"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_failure_mode_report.md"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_primary_delivery_fix_comparison.csv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_primary_delivery_fix_comparison.csv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_primary_delivery_fix_failure_mode_report.md"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_primary_delivery_fix_failure_mode_report.md"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/selected_envelope_manual_boundary_review_gaussian15_peak_group_20260605.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/selected_envelope_manual_boundary_review_gaussian15_peak_group_20260605.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/selected_full_envelope_fe4_preflight_manifest.json"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/selected_full_envelope_fe4_preflight_manifest.json"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/shared_peak_identity_activation_must_not_regress_v1.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/shared_peak_identity_activation_must_not_regress_v1.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/shared_peak_identity_manual_oracle_v1.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/shared_peak_identity_manual_oracle_v1.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/shared_peak_identity_mode_window_assignment_contract_v0.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/shared_peak_identity_mode_window_assignment_contract_v0.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/target_pair_chrom_morphology_area_ratio_manual_oracle_v1.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/target_pair_chrom_morphology_area_ratio_manual_oracle_v1.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/targeted_nl_fail_own_max_gate_expected_diff_v0.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/targeted_nl_fail_own_max_gate_expected_diff_v0.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/goals/2026-06-07-backfill-evidence-reconciliation-productization-goal.md"	"repo_stub_plus_obsidian"	"docs/product/backfill.md; docs/superpowers/plans/2026-06-15-productization-control-plane.md"	"docs/superpowers/goals/2026-06-07-backfill-evidence-reconciliation-productization-goal.md"	"XIC/20 Archived Plans And Specs/Goals/"	"Backfill Evidence Reconciliation Productization Goal"	""	""	"medium"	"same_path_stub_required"	"keep stub until dated plan and goals README no longer need exact historical path"	"no"	"historical diagnostic/gallery goal, superseded for current Backfill roadmap"
"docs/superpowers/goals/README.md"	"repo_keep_current"	"docs/superpowers/plans/2026-06-15-productization-control-plane.md"	"docs/superpowers/goals/README.md"	""	"Readme"	""	""	"low"	"none"	"keep as repo routing index"	"no"	"active reading-order index, not private development history"
"docs/superpowers/goals/XIC_Extractor_Productization_Roadmap_Review.md"	"repo_keep_current"	"docs/product/backfill.md; docs/superpowers/plans/2026-06-15-productization-control-plane.md"	"docs/superpowers/goals/XIC_Extractor_Productization_Roadmap_Review.md"	""	"Xic Extractor Productization Roadmap Review"	""	""	"medium"	"same_path_stub_required"	"keep while goals README and productization direction still use it as roadmap anchor"	"no"	"current Backfill/quant-matrix roadmap anchor, not ready for private migration"
"docs/superpowers/handoffs/archive/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md"	"repo_keep_current"	"docs/agent/obsidian-handoff-contract.md"	"docs/superpowers/handoffs/archive/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md"	""	""	""	""	"low"	"none"	"keep branch-scoped handoff stubs in repo"	"no"	"handoff surface"
"docs/superpowers/handoffs/archive/2026-06-22_cc-framework-improvements_dna-dr-performance-pass.md"	"repo_keep_current"	"docs/agent/obsidian-handoff-contract.md"	"docs/superpowers/handoffs/archive/2026-06-22_cc-framework-improvements_dna-dr-performance-pass.md"	""	""	""	""	"low"	"none"	"keep branch-scoped handoff stubs in repo"	"no"	"handoff surface"
"docs/superpowers/handoffs/archive/2026-06-25_codex-docs-cleanup_direction-lock-review.md"	"repo_keep_current"	"docs/agent/obsidian-handoff-contract.md"	"docs/superpowers/handoffs/archive/2026-06-25_codex-docs-cleanup_direction-lock-review.md"	""	""	""	""	"low"	"none"	"keep branch-scoped handoff stubs in repo"	"no"	"handoff surface"
"docs/superpowers/handoffs/current/cc-framework-improvements-productization.md"	"repo_keep_current"	"docs/agent/obsidian-handoff-contract.md"	"docs/superpowers/handoffs/current/cc-framework-improvements-productization.md"	""	""	""	""	"low"	"none"	"keep branch-scoped handoff stubs in repo"	"no"	"handoff surface"
"docs/superpowers/handoffs/current/codex-docs-cleanup-official-docs-and-handoff.md"	"repo_keep_current"	"docs/agent/obsidian-handoff-contract.md"	"docs/superpowers/handoffs/current/codex-docs-cleanup-official-docs-and-handoff.md"	""	""	""	""	"low"	"none"	"keep branch-scoped handoff stubs in repo"	"no"	"handoff surface"
"docs/superpowers/handoffs/README.md"	"repo_keep_current"	"docs/agent/obsidian-handoff-contract.md"	"docs/superpowers/handoffs/README.md"	""	""	""	""	"low"	"none"	"keep branch-scoped handoff stubs in repo"	"no"	"handoff surface"
"docs/superpowers/notes/2026-05-03-output-refactor-retrospective.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Output Refactor Retrospective"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-06-local-minimum-calibration-v1-results.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Local Minimum Calibration V1 Results"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-18-shared-evidence-spine-adoption-decision.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Shared Evidence Spine Adoption Decision"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-19-seed-aware-backfill-review-index.md"	"repo_keep_current"	"docs/product/backfill.md; docs/superpowers/plans/2026-06-15-productization-control-plane.md"	"docs/superpowers/notes/2026-05-19-seed-aware-backfill-review-index.md"	""	"Seed Aware Backfill Review Index"	""	""	"medium"	"same_path_stub_required"	"keep compact validation index while goal/plan refs remain"	"no"	"seed-aware Backfill review index, shadow gate only, not matrix authority"
"docs/superpowers/notes/2026-05-19-untargeted-ms1-coherence-backfill-review.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Untargeted Ms1 Coherence Backfill Review"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-20-claim-registry-hot-path-decision.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Claim Registry Hot Path Decision"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-20-graphify-complexity-hotspot-inventory.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Graphify Complexity Hotspot Inventory"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-20-instrument-qc-drift-findings.md"	"repo_stub_plus_obsidian"	"docs/product/instrument-qc-calibration.md"	"docs/superpowers/notes/2026-05-20-instrument-qc-drift-findings.md"	"XIC/50 Validation Context/Interpretation Notes/"	"Instrument Qc Drift Findings"	""	""	"high"	"same_path_stub_required"	"keep sanitized stub after instrument QC owner covers durable claims"	"no"	"QC drift interpretation with local artifact paths; stable rules now in instrument QC topic"
"docs/superpowers/notes/2026-05-20-instrument-qc-hcd-audit-v1-decision.md"	"repo_stub_plus_obsidian"	"docs/product/instrument-qc-calibration.md"	"docs/superpowers/notes/2026-05-20-instrument-qc-hcd-audit-v1-decision.md"	"XIC/50 Validation Context/Interpretation Notes/"	"Instrument Qc Hcd Audit V1 Decision"	""	""	"high"	"same_path_stub_required"	"keep sanitized stub after HCD audit limits are topic-owned"	"no"	"HCD audit decision note with local command context"
"docs/superpowers/notes/2026-05-21-instrument-qc-level3-no-go-convergence.md"	"repo_stub_plus_obsidian"	"docs/product/instrument-qc-calibration.md"	"docs/superpowers/notes/2026-05-21-instrument-qc-level3-no-go-convergence.md"	"XIC/50 Validation Context/Interpretation Notes/"	"Instrument Qc Level3 No Go Convergence"	""	""	"medium"	"same_path_stub_required"	"keep sanitized stub after Level 3 NO-GO rule is topic-owned"	"no"	"calibration no-go convergence note"
"docs/superpowers/notes/2026-05-21-instrument-qc-rt-aware-midterm-preview.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Instrument Qc Rt Aware Midterm Preview"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-21-lcms-msms-handoff-progress-checklist.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Lcms Msms Handoff Progress Checklist"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-24-resolver-default-switch-implementation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Resolver Default Switch Implementation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md"	"repo_keep_current"	"same-path sanitized stub"	"docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md"	""	""	""	""	"medium"	"same_path_stub_required"	"update exact referrers to formal owner before removing stub"	"no"	"Phase 1 sanitized stub"
"docs/superpowers/notes/2026-05-25-p2-asls-baseline-shadow-implementation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2 Asls Baseline Shadow Implementation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p2-asls-baseline-shadow-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2 Asls Baseline Shadow Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p2-baseline-truth-audit-all-statuses-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2 Baseline Truth Audit All Statuses Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p2-baseline-truth-audit-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2 Baseline Truth Audit Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p2b-revised-asls-promotion-gate-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2b Revised Asls Promotion Gate Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p2c-owner-boundary-window-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2c Owner Boundary Window Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p2d-rt-boundary-first-p2b-gate-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2d Rt Boundary First P2b Gate Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p3-third-party-shadow-findings.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P3 Third Party Shadow Findings"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p4-area-uncertainty-formula-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P4 Area Uncertainty Formula Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-p5-cwt-evidence-honesty-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P5 Cwt Evidence Honesty Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-25-phase1-modernization-closeout-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Phase1 Modernization Closeout Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-diagnostic-lifecycle-audit-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Diagnostic Lifecycle Audit Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p2b-85raw-foreground-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2b 85Raw Foreground Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md"	"repo_keep_current"	"same-path sanitized stub"	"docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md"	""	""	""	""	"medium"	"same_path_stub_required"	"update exact referrers to formal owner before removing stub"	"no"	"Phase 1 sanitized stub"
"docs/superpowers/notes/2026-05-26-p2b-asls-production-promotion-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2b Asls Production Promotion Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p2c-asls-truth-validation-implementation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P2c Asls Truth Validation Implementation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p75-85raw-reentry-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P75 85Raw Reentry Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p8a-validation-minimal-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P8a Validation Minimal Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md"	"repo_keep_current"	"same-path sanitized stub"	"docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md"	""	""	""	""	"medium"	"same_path_stub_required"	"update exact referrers to formal owner before removing stub"	"no"	"Phase 1 sanitized stub"
"docs/superpowers/notes/2026-05-26-p8b-owner-backfill-superwindow-investigation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P8b Owner Backfill Superwindow Investigation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-p8b-owner-backfill-superwindow-validation-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"P8b Owner Backfill Superwindow Validation Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-phase1-phase2-design-correction-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Phase1 Phase2 Design Correction Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
"docs/superpowers/notes/2026-05-26-phase1-phase2-independent-critique-note.md"	"formalize_then_obsidian"	"TBD formal owner"	""	"XIC/10 Development History/Branch Diaries/"	"Phase1 Phase2 Independent Critique Note"	""	""	"medium"	"blocked"	"review for durable public claims, create owner/stub, scan referrers"	"no"	"historical note default"
